Date,Open,High,Low,Close
2020-08-14,6.53,6.53,6.53,6.53
2020-08-13,6.5,6.5,6.5,6.5
2020-08-12,6.511,6.511,6.503,6.503
2020-08-11,6.498,6.498,6.496,6.496
2020-08-10,6.512,6.512,6.512,6.512
2020-08-07,6.519,6.519,6.519,6.519
2020-08-06,6.458,6.458,6.458,6.458
2020-08-05,6.416,6.416,6.416,6.416
2020-08-04,6.406,6.406,6.406,6.406
2020-08-03,6.456,6.456,6.426,6.426
2020-07-31,6.447,6.447,6.447,6.447
2020-07-30,6.392,6.392,6.392,6.392
2020-07-29,6.388,6.388,6.388,6.388
2020-07-28,6.392,6.392,6.392,6.392
2020-07-27,6.409,6.409,6.409,6.409
2020-07-24,6.407,6.407,6.407,6.407
2020-07-23,6.419,6.419,6.419,6.419
2020-07-22,6.426,6.426,6.426,6.426
2020-07-21,6.441,6.441,6.411,6.411
2020-07-20,6.393,6.393,6.393,6.393
2020-07-17,6.401,6.401,6.401,6.401
2020-07-16,6.42,6.42,6.42,6.42
2020-07-15,6.433,6.433,6.433,6.433
2020-07-14,6.454,6.454,6.454,6.454
2020-07-13,6.44,6.44,6.44,6.44
2020-07-10,6.491,6.491,6.451,6.451
2020-07-09,6.538,6.538,6.538,6.538
2020-07-08,6.576,6.576,6.576,6.576
2020-07-07,6.577,6.577,6.577,6.577
2020-07-06,6.577,6.577,6.577,6.577
